stream_title,stream_url,stream_status,stream_type,is_rewind,category,poi,poi_detail,provider,provider_url,address,latitude,longitude,last_updated
【LIVE】能登鹿島駅周辺（能登さくら駅）石川県穴水町 - YouTube,https://www.youtube.com/watch?v=THy9p2xJSek,TRUE,video,TRUE,鉄道,能登鹿島駅,,穴水町公式チャンネル - YouTube,https://www.youtube.com/@Anamizu_Town/streams,石川県鳳珠郡穴水町字曽福イ,37.230874,136.912479,2024-04-12 11:08:25
【LIVE】能登ワイン周辺ぶどう畑　石川県穴水町 - YouTube,https://www.youtube.com/watch?v=rXwJr5g3rzI,TRUE,video,TRUE,観光,能登ワイン周辺ぶどう畑,,穴水町公式チャンネル - YouTube,https://www.youtube.com/@Anamizu_Town/streams,石川県鳳珠郡穴水町字旭ケ丘5-1,37.230874,136.912479,2024-04-12 11:07:12
【LIVE】能登中居鋳物館周辺　石川県穴水町 - YouTube,https://www.youtube.com/watch?v=juSylmIAFv4,TRUE,video,TRUE,海岸,能登中居鋳物館,,穴水町公式チャンネル - YouTube,https://www.youtube.com/@Anamizu_Town/streams,石川県鳳珠郡穴水町字中居壱壱0,37.230874,136.912479,2024-04-12 11:07:19
三春滝桜 ライブカメラ 【2024.3.27～配信開始　4月10日満開】 - YouTube,https://www.youtube.com/watch?v=a49pXas0L4M,TRUE,video,TRUE,観光,三春滝桜,,TUFchannel - YouTube,https://www.youtube.com/@TUFchannel/streams,福島県田村郡三春町大字滝字桜久保296,37.4076991,140.500067,2024-04-12 11:08:13
日本の歴史公園100選　西山公園（福井県鯖江市） - YouTube,https://www.youtube.com/watch?v=Vsoox52rygw,TRUE,video,TRUE,観光,西山公園,,さばスタLIVE - YouTube,https://www.youtube.com/@live9487/streams,福井県鯖江市桜町3丁目8-10,36.065244,136.221791,2024-04-15 18:17:49
高遠城址公園　桜ライブカメラ - YouTube,https://www.youtube.com/watch?v=zf9RIXD5bvA,TRUE,video,TRUE,観光,高遠城址公園,,伊那ケーブルテレビ情報カメラ - YouTube,https://www.youtube.com/@user-so6dl5fx2j/streams,長野県伊那市高遠町西高遠810-1,35.827478,137.954083,2024-04-12 15:07:22
東京千鳥ヶ淵ライブカメラ - YouTube,https://www.youtube.com/watch?v=slCbm8J9ngk,TRUE,video,FALSE,観光,千鳥ケ淵,,東京千鳥ヶ淵ライブカメラ - YouTube,https://www.youtube.com/@user-iw4ts8xf3r,東京都千代田区三番町,35.689568,139.691717,2024-04-12 15:30:52
"🔴松本城ライブカメラ#1「本丸庭園」/Matsumoto Castle Live Cam#1 ""Honmaru Garden"" - YouTube",https://www.youtube.com/watch?v=gNzFeQ6GbYg,FALSE,video,TRUE,観光,松本城,,"【公式】国宝松本城 / National Treasure ""Matsumoto Castle"" - YouTube",https://www.youtube.com/@matsumoto-castle/streams,長野県松本市丸の内4-1,36.238062,137.970922,2024-04-15 18:17:43
"🔴松本城ライブカメラ#3「本丸庭園しだれ桜」/Matsumoto Castle Live Cam#3 ""SAKURA"" - YouTube",https://www.youtube.com/watch?v=3AT0G5dIBNI,FALSE,video,TRUE,観光,松本城,,"【公式】国宝松本城 / National Treasure ""Matsumoto Castle"" - YouTube",https://www.youtube.com/@matsumoto-castle/streams,長野県松本市丸の内4-1,36.238062,137.970922,2024-04-15 18:17:46
"🔴松本城ライブカメラ#2「黒門」/Matsumoto Castle Live Cam#2 - View from ""Kuromon"" black gate. - YouTube",https://www.youtube.com/watch?v=sbN0DbzoWH8,TRUE,video,TRUE,観光,松本城,,"【公式】国宝松本城 / National Treasure ""Matsumoto Castle"" - YouTube",https://www.youtube.com/@matsumoto-castle/streams,長野県松本市丸の内4-1,36.238062,137.970922,2024-04-12 15:38:53
