"id","stream_title","stream_url","stream_status","stream_type","is_rewind","category","poi","poi_detail","provider","provider_url","address","latitude","longitude","last_updated"
"yt_VSWIG1JCZNk","Tokyo 4K Panorama Livecam 東京4Kパノラマライブカメラ","https://www.youtube.com/watch?v=VSWIG1JCZNk","True","video","True","河川","江東区","豊洲運河","Tokyo Skyline","https://www.youtube.com/channel/UCsQBuRimy-hLk1jNBq-Yx9Q","東京都中央区晴海３丁目１３−２","","","2025-01-28 01:22:07"
"yt_2vfYbuEdHxU","【LIVE Shinjuku Tokyo Japan】東京スカイライン・ライブカメラ - Tokyo Skyline Live Camera","https://www.youtube.com/watch?v=2vfYbuEdHxU","True","","True","","","","Tokyo Skyline Live","https://www.youtube.com/channel/UCZDmkaJ80vMMvvflpN32h-A","","35.740449","139.717541","2025-01-28 00:42:02"
"yt_RFIR8PFYwkw","自分の配信東京 隅田川 ライブカメラ　Tokyo Sumida River LIVE  Camera","https://www.youtube.com/watch?v=RFIR8PFYwkw","True","","True","","","","Tokyo Sumida River LIVE","https://www.youtube.com/channel/UC8cHkbzzh2HvCAx0wLh2Qjw","","35.686528","139.794049","2025-01-28 02:16:32"
"yt_r74OyneNmg8","東京ライブカメラ Tokyo Live Camera: Experience the Beauty of Tokyo 24/7","https://www.youtube.com/watch?v=r74OyneNmg8","True","video","False","河川","レインボーブリッジ","","Tokyo Views","https://www.youtube.com/channel/UCaaSp7JYkACHR-Sr-p3OHeQ","東京都港区港南三丁目9","35.689568","139.691717","2025-01-28 02:19:53"
"yt_693RRt4gu6k","今日は会えるかな？野生の朱鷺(トキ) 佐渡島・特別天然記念物 Liveチャンネル（Nipponia nippon）☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=693RRt4gu6k","False","video","False","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","38.036673","138.420848","2025-01-28 00:40:15"
"yt_1phhm90i1mg","【満天キラ星】（軽井沢町・浅間山)】Liveチャンネル　☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=1phhm90i1mg","True","video","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","","","2025-01-28 02:16:13"
"yt_UgeR0QhtdGA","北海道 十勝の森の風景～エゾリスと小鳥の庭～　Liveチャンネル　☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=UgeR0QhtdGA","True","video","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","42.796574","143.1611","2025-01-28 02:17:00"
"yt_e_osEPIYYGM","【満天キラ星】（環境省認定 )日本一星空がきれいに見える場所・長野県・阿智村 Liveチャンネル　☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=e_osEPIYYGM","True","video","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","35.443832","137.660744","2025-01-28 02:16:46"
"yt_lZ0Va0y_KxA","日本海に沈む美しい夕日 ライブチャンネル（新潟県・鯨波海岸)＋BGM 　☆日頃、当ライブチャンネルをご視聴頂きありがとうございます。☆","https://www.youtube.com/watch?v=lZ0Va0y_KxA","True","video","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","37.347055","138.487446","2025-01-28 02:16:47"
"yt_amYCJ1cTol4","大海原でお仕事をされている大間漁師さんのお陰で美味しい海の幸を頂くことが出来る事に感謝します。巨大マグロの大間漁港（荷揚げ場）お天気Liveチャンネル","https://www.youtube.com/watch?v=amYCJ1cTol4","True","","True","","","","Travel Japan Live Channel","https://www.youtube.com/channel/UCFfurCxvxE0mFkFy1ZwSang","","41.528916","140.904973","2025-01-28 00:42:25"
